kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Satureja,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc
6.399,487,11,69,0,0,5,0,0,0,0,0,4,32,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,5,1,2,0,0,0,2,10,4,0,3,0,2,0,5,0,0,0,0,124,25,0,0,0,0,0,13,0,0,0,0,0,1,0,1,3,0,0,2,0,0,2,0,1,1,0,1,1,1,1,0,2,0,0,0,3,36,1,1657,4,385,31272
6.456,492,12,86,0,0,4,2,0,0,0,0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,16,5,1,2,0,0,0,5,11,1,0,5,3,3,2,4,0,0,0,0,127,31,1,0,0,0,0,9,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,4,0,1,1,4,1,1,1,3,4,35,1,1738,2,161,31272
6.524,498,12,185,0,0,2,5,0,0,0,0,2,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,26,4,2,0,0,0,0,5,14,10,0,5,4,5,0,1,0,0,0,0,143,6,0,0,0,0,0,7,0,0,0,0,0,4,0,0,2,0,0,2,1,0,1,2,1,0,1,1,1,0,1,5,1,0,1,4,1,26,1,1646,1,210,31272
6.56,501,13,105,0,0,5,2,0,0,2,0,3,37,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,6,9,0,1,7,5,1,3,0,0,0,0,104,9,0,0,0,0,0,1,0,0,0,0,0,4,0,1,4,1,1,0,1,0,1,4,1,1,0,4,0,0,0,1,2,1,1,1,5,28,0,1333,0,321,31272
6.616,505,14,78,0,0,2,4,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,20,1,2,0,0,0,0,1,7,12,0,0,5,5,1,4,0,0,0,0,64,6,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,1,1,1,0,0,2,5,1,0,0,2,0,1,1,0,2,0,0,0,2,15,1,1622,2,145,31272
6.644,507,14,114,0,0,0,0,0,0,0,0,1,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,1,0,0,0,0,1,13,6,0,1,9,0,1,0,0,0,0,0,90,7,0,0,0,0,0,9,0,0,0,0,0,5,0,1,2,0,1,0,0,1,1,5,1,1,1,3,1,0,0,2,1,1,0,5,4,29,1,1472,1,211,31272
6.673,509,14,225,0,0,0,1,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,36,0,0,0,0,0,0,1,24,10,0,4,12,3,1,3,0,0,0,0,75,24,0,0,0,0,0,6,1,0,0,0,0,3,0,0,3,1,1,1,1,0,0,1,1,0,1,2,0,0,0,2,1,0,1,5,4,33,0,1789,0,305,31272
6.702,511,14,48,0,0,2,2,0,0,0,0,1,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,28,3,1,0,0,0,0,4,9,2,0,1,4,0,2,2,0,0,0,0,95,27,0,0,0,0,0,7,0,0,0,0,0,3,0,1,3,0,1,1,0,1,0,0,0,0,0,2,1,1,0,5,0,1,0,4,0,22,0,1255,0,215,31272
6.744,514,13,37,0,0,3,5,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,4,1,0,0,0,0,0,18,1,0,0,4,2,2,5,0,0,0,0,110,3,1,0,0,0,0,15,0,0,0,0,0,4,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,4,4,22,0,1536,5,188,31272
6.801,518,14,42,0,0,1,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,21,4,1,0,0,0,0,2,8,5,0,1,1,3,1,5,0,0,0,0,112,28,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,1,1,0,1,1,1,2,1,0,1,4,0,0,0,3,1,0,0,2,3,19,0,1598,4,214,31272
6.855,522,14,58,0,0,3,0,0,0,0,0,3,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,2,0,0,0,0,0,2,15,9,0,4,4,4,1,2,0,0,0,0,65,31,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,1,2,0,1,5,5,24,1,1824,0,147,31272
6.908,526,12,36,0,0,2,4,0,0,1,0,1,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,1,2,0,0,0,0,4,8,1,0,0,0,6,0,2,0,0,0,0,113,25,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,1,1,1,1,2,3,0,1,1,2,0,1,0,4,2,0,0,1,0,22,1,147,5,321,31272
6.946,529,12,24,0,0,3,5,0,0,0,0,3,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,4,1,0,0,0,0,5,6,6,0,0,5,3,1,1,0,0,0,0,57,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,1,0,1,0,0,1,1,5,1,0,1,5,1,0,0,3,1,36,1,325,3,245,31272
6.994,533,13,13,0,0,5,4,0,0,0,1,1,14,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24,1,1,0,0,0,0,4,25,5,0,4,0,5,1,4,0,0,0,0,108,22,0,0,0,0,0,13,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,4,0,1,1,2,0,1,1,3,1,1,0,4,4,38,1,478,1,69,31272
7.03,536,12,22,0,0,5,5,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,1,0,0,0,0,0,7,11,0,0,0,5,1,4,0,0,0,0,128,13,0,0,0,0,0,9,0,0,0,0,0,5,0,1,3,0,1,2,1,0,1,3,0,1,0,4,1,0,1,1,0,0,0,3,5,64,1,589,0,105,31272
7.055,538,12,30,0,0,1,2,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,2,1,0,0,0,0,22,7,0,2,5,0,1,1,0,0,0,0,82,32,0,0,0,0,0,12,0,0,0,0,0,4,0,1,2,0,1,1,0,1,2,4,1,0,1,1,1,1,1,4,0,1,1,4,2,54,0,654,1,214,31272
7.08,540,12,45,0,0,0,0,0,1,0,0,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,10,1,2,0,0,0,1,5,15,2,1,1,5,0,0,2,0,0,0,0,116,11,0,0,0,1,0,1,0,0,0,0,0,5,0,1,2,1,0,0,1,1,2,1,1,1,0,3,1,1,1,5,1,0,0,4,2,58,0,471,0,321,31272
7.157,545,16,150,0,0,2,4,0,0,0,0,5,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,2,1,0,0,0,0,1,11,3,0,1,5,0,0,3,0,0,0,0,189,4,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,5,1,1,1,3,0,0,0,2,2,0,1,4,2,64,0,321,2,289,31272
7.187,547,15,54,0,0,4,3,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,5,2,1,0,0,0,0,2,8,9,0,4,0,0,0,5,0,0,0,0,137,24,0,0,0,0,0,6,1,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0,0,0,1,4,1,0,1,0,1,1,0,3,2,42,1,159,3,396,31272
7.269,552,16,90,0,0,3,1,0,0,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,2,0,0,0,0,2,23,9,0,2,3,0,0,3,0,0,0,0,136,5,0,0,0,0,0,9,0,0,0,0,0,5,0,1,2,0,1,2,0,0,1,4,0,1,0,2,1,0,0,5,2,1,0,0,2,56,0,145,1,274,31272
7.301,554,14,78,0,0,3,3,0,0,0,0,2,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,3,9,3,1,0,0,0,0,0,25,6,0,2,0,0,1,4,0,0,0,0,126,0,0,0,0,0,0,10,0,0,0,0,0,4,0,1,4,0,1,0,1,0,2,3,0,0,1,3,1,1,1,0,0,0,0,4,5,33,1,278,5,289,31272
7.355,557,15,65,0,0,1,1,0,0,0,0,3,10,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,5,5,1,2,0,0,0,0,3,7,11,0,2,1,0,1,0,0,0,0,0,149,29,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,2,0,1,0,5,1,1,0,4,1,0,0,1,2,0,1,3,2,59,0,141,5,245,31272
7.39,559,14,58,0,0,3,0,0,0,0,0,2,14,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,4,1,0,0,0,0,3,6,8,0,3,4,0,0,10,0,0,0,0,236,3,0,0,0,0,0,15,0,0,0,0,0,3,0,0,2,0,0,2,1,0,2,1,0,1,0,5,1,0,1,1,0,0,1,0,0,54,1,568,5,361,31272
7.424,561,14,69,0,0,0,4,0,1,0,0,4,14,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,1,0,2,6,2,1,0,0,0,0,5,10,0,0,2,4,0,0,10,0,0,0,0,198,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,4,1,0,1,1,0,1,5,1,1,1,5,1,1,0,2,1,0,1,4,2,67,0,789,5,401,31272
7.457,563,15,52,0,0,2,2,0,0,0,0,1,20,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,1,2,0,0,0,0,0,16,12,0,5,3,0,2,2,0,0,0,0,244,5,0,0,0,0,0,12,0,0,0,0,0,3,0,1,5,1,1,1,0,0,1,4,0,1,0,2,0,1,1,3,0,1,0,0,4,56,0,958,5,185,31272
7.488,565,15,41,0,0,0,1,0,0,1,0,5,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,7,2,1,0,0,0,0,1,25,0,0,0,1,0,0,7,0,0,0,0,252,1,0,0,0,0,0,6,1,0,0,0,0,3,0,1,5,0,1,0,1,1,2,1,0,0,0,5,1,0,1,3,0,0,1,4,0,40,0,1005,4,127,31272
7.53,568,14,25,0,0,4,2,0,0,0,0,4,13,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,6,2,0,0,0,0,0,1,12,9,0,5,5,0,2,12,0,0,0,0,163,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,1,1,1,1,3,1,1,0,1,2,1,0,5,0,43,0,1355,2,185,31272
7.545,569,12,68,0,0,3,1,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,2,0,0,0,0,0,0,11,3,0,1,1,0,0,14,0,0,0,0,215,3,0,0,0,0,0,14,0,0,0,0,0,5,0,1,5,0,0,0,1,1,2,1,1,1,0,3,0,0,0,5,2,0,0,3,4,63,1,1442,3,199,31272
7.571,571,15,85,0,0,4,5,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8,3,2,0,0,0,0,0,5,10,0,5,1,0,1,12,0,0,0,0,206,11,1,0,0,0,0,12,0,0,0,0,0,4,0,0,2,0,0,1,1,1,2,5,1,0,1,0,0,0,1,0,0,0,0,0,5,45,1,1666,3,214,31272
7.593,573,12,36,0,0,1,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,4,2,0,0,0,0,1,25,9,0,0,5,0,2,0,0,0,0,0,188,11,0,0,0,0,0,7,0,0,0,0,0,5,0,0,5,0,1,2,1,1,0,2,0,1,0,5,1,1,1,5,1,0,0,0,4,49,1,1541,2,321,31272
7.65,578,14,42,0,0,0,4,0,0,0,0,5,11,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,12,5,0,2,3,0,1,4,0,0,0,0,181,8,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,3,1,1,1,4,0,1,1,2,1,0,0,1,0,61,0,1700,4,105,31272
7.704,583,13,75,0,0,4,1,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,0,0,0,0,0,0,2,18,7,0,0,0,0,1,2,0,0,0,0,166,6,0,0,0,0,0,14,0,0,0,0,0,5,0,1,2,0,0,0,1,1,1,3,0,0,1,2,0,0,1,5,1,1,1,4,2,63,0,1397,5,141,31272
7.753,587,13,98,0,0,4,0,0,0,0,0,3,17,0,1,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,8,5,0,1,0,0,0,2,7,4,0,1,3,0,1,8,0,0,0,0,228,8,0,0,0,0,0,8,0,0,0,0,0,3,0,0,3,0,1,2,1,1,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,48,0,1247,3,263,31272
7.802,591,15,115,0,0,5,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,17,0,0,3,1,0,1,8,0,0,0,0,249,2,0,0,0,0,0,6,0,0,0,0,0,3,0,1,4,1,0,2,1,0,0,1,1,1,0,3,1,0,1,3,1,0,0,4,2,59,1,1377,0,258,31272
7.841,594,17,102,0,0,1,0,1,0,0,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,7,2,0,0,0,0,0,0,14,8,0,1,2,0,2,8,0,0,0,0,213,5,1,0,0,0,1,11,0,0,0,0,0,4,0,1,5,1,0,0,0,1,1,3,0,1,0,5,0,0,1,2,1,0,1,3,0,36,1,1713,2,172,31272
7.869,596,14,94,0,0,5,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,7,6,0,4,2,0,2,12,0,0,0,0,234,19,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,5,1,0,1,0,1,0,1,1,4,38,1,1464,3,101,31272
7.907,599,14,86,0,0,1,0,0,0,0,0,5,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,6,2,0,0,0,0,0,1,22,7,0,4,4,0,1,12,0,0,0,0,183,4,0,0,0,0,0,12,1,0,0,0,0,4,0,1,2,0,0,1,1,1,2,1,0,0,0,3,1,0,1,5,2,1,0,4,2,64,0,1212,2,99,31272
7.944,602,15,75,0,0,3,0,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,1,0,0,0,0,0,0,9,8,0,3,0,0,2,4,0,0,0,0,175,11,0,0,0,0,0,9,0,0,0,0,0,2,0,1,4,0,0,1,1,0,2,2,0,1,1,3,0,1,0,0,2,1,1,3,3,58,0,1535,3,121,31272
8.015,607,15,58,0,0,5,0,0,0,1,0,1,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,9,2,0,0,1,0,0,1,17,3,0,3,5,0,2,4,0,0,0,0,287,12,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,1,1,2,1,0,2,0,0,1,1,2,1,1,0,5,2,0,1,5,5,38,0,785,2,201,31272
8.088,612,15,36,0,0,4,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,8,2,0,0,0,1,0,2,16,6,0,5,0,0,2,5,0,0,0,0,393,18,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,1,0,1,1,2,0,1,0,0,3,1,0,0,2,1,1,0,2,3,48,0,845,1,186,31272
8.115,614,18,40,0,0,2,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,4,0,0,0,0,0,1,9,7,0,1,3,0,0,13,0,0,0,0,208,3,0,0,0,0,0,5,0,0,0,0,0,4,0,1,0,1,1,1,1,0,0,5,1,1,1,5,0,0,0,0,2,0,1,5,5,39,1,897,2,193,31272
8.156,617,16,78,0,0,1,0,0,0,0,0,5,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,8,4,0,0,0,0,0,2,14,4,0,0,3,3,1,6,0,0,0,0,234,11,0,0,0,0,0,11,2,0,0,0,0,4,0,0,0,0,0,1,0,1,1,5,0,0,1,3,1,0,1,1,1,1,1,3,1,43,1,975,1,115,31272
8.193,620,15,74,0,0,5,0,0,0,0,0,2,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,9,4,0,0,0,0,1,2,10,1,0,5,4,1,1,9,0,0,0,0,266,4,0,0,0,0,0,12,0,0,0,0,0,1,0,0,2,1,1,1,0,1,2,4,1,1,1,1,1,1,0,3,0,0,1,5,4,68,1,1532,5,185,31272
8.231,623,15,145,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,5,3,0,0,0,0,0,2,8,7,0,4,0,5,0,6,0,0,0,0,253,14,0,0,0,0,0,10,0,0,0,0,0,2,0,1,4,0,0,1,1,1,1,1,0,0,1,3,1,1,0,3,1,1,1,3,5,41,0,1816,0,214,31272
8.245,624,13,94,0,0,4,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,4,9,4,0,0,0,0,0,0,7,7,0,3,4,4,2,13,0,0,0,0,372,12,0,0,0,0,0,1,0,0,0,0,0,5,0,0,5,1,1,2,0,1,2,1,0,1,1,5,0,1,1,2,2,0,0,1,0,67,0,1614,2,214,31272
8.294,628,13,75,0,1,1,0,0,0,0,0,0,17,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,8,3,0,0,0,0,0,1,2,3,0,5,2,4,1,13,0,0,0,0,220,11,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,0,1,0,1,1,2,2,0,1,1,2,0,1,0,5,1,0,0,3,1,64,1,883,4,198,31272
8.333,631,18,68,0,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,5,5,5,0,0,0,0,0,0,5,2,0,1,3,4,0,13,0,0,0,0,329,13,0,0,0,0,0,11,0,0,0,0,0,1,0,0,2,0,0,1,1,0,2,4,0,0,0,5,1,1,1,5,0,0,0,0,2,52,1,705,5,225,31272
8.398,635,20,119,0,0,3,0,0,0,1,0,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,5,7,2,0,0,0,0,0,1,13,8,0,3,1,1,1,13,0,0,0,0,233,2,0,0,0,0,0,14,1,0,0,0,0,0,0,1,4,1,1,0,0,0,2,2,1,1,1,5,0,1,1,4,2,1,1,0,0,47,0,610,5,230,31272
8.453,638,18,23,0,0,4,0,0,0,0,0,5,20,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,8,6,0,0,3,6,0,12,0,0,0,0,392,15,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,1,0,1,3,1,0,1,5,0,1,0,1,0,1,0,3,2,60,0,821,2,185,31272
8.505,641,18,25,0,0,3,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,1,10,2,0,0,0,1,0,2,24,1,0,5,2,4,0,12,0,0,0,0,325,14,0,0,0,0,0,2,0,0,0,0,0,2,0,1,5,1,0,1,0,1,1,5,1,0,1,2,1,0,1,0,0,0,0,3,3,33,0,872,5,198,31272
8.559,644,18,37,0,0,5,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,3,0,0,0,0,0,1,12,5,0,5,0,1,0,13,0,0,0,0,382,9,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,0,1,1,1,4,1,0,1,1,0,1,1,4,0,1,0,4,5,44,1,958,5,185,31272
8.646,649,17,48,0,0,2,0,0,0,0,0,3,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,9,4,0,0,0,1,0,2,24,5,0,4,3,2,1,12,0,0,0,0,340,17,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,1,5,0,1,1,2,1,1,0,4,0,0,0,0,2,51,0,1679,5,103,31272
8.71,653,16,103,0,0,5,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,15,3,0,1,0,1,0,0,9,6,0,2,0,5,2,14,0,0,0,0,333,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,2,0,0,0,0,2,0,0,1,0,0,1,1,1,3,64,0,1438,3,125,31272
